#S 2  zapline mono 16.3912 14.118 2709 100 
#D Wed Sep 25 11:09:41 2024
energy_offset(keV) muT mon_2 ion_1_1
7.03613 -0.29468477242985147 22496.5 30206.1
7.03663 -0.2948154388767183 22500.8 30215.9
7.03713 -0.29520870004854927 22502.8 30230.4
7.03763 -0.2956811232680615 22496.6 30236.3
7.03813 -0.2959496596657031 22491.0 30237.0
7.03863 -0.29686118184834526 22498.5 30274.6
7.03913 -0.29686376997721364 22506.5 30285.4
7.03963 -0.2976198193559732 22501.1 30301.1
7.04013 -0.2981312032239874 22494.2 30307.3
7.04063 -0.29836831806082376 22503.4 30326.9
7.04113 -0.2989495079158883 22510.6 30354.2
7.04163 -0.2990771257443523 22500.0 30343.7
7.04213 -0.29965511000693446 22497.9 30358.6
7.04263 -0.2998108726763665 22501.8 30368.5
7.04313 -0.30021966287594803 22513.0 30396.0
7.04363 -0.3007965478422902 22511.6 30411.8
7.04413 -0.301274894300454 22506.4 30419.2
7.04463 -0.30185955550522214 22508.9 30440.4
7.04513 -0.3018646931679674 22512.2 30444.9
7.04563 -0.3024891646924432 22507.8 30458.0
7.04613 -0.3027560396125725 22512.8 30473.0
7.04663 -0.30338171834830896 22509.6 30487.8
7.04713 -0.3039242021908613 22507.5 30501.4
7.04763 -0.3041661787450282 22521.3 30527.5
7.04813 -0.3048077378724907 22513.1 30536.0
7.04863 -0.3052101462784313 22510.3 30544.5
7.04913 -0.30554489862402456 22513.7 30559.3
7.04963 -0.30606879398342823 22506.9 30566.1
7.05013 -0.3060931170065977 22514.4 30577.0
7.05063 -0.30662687726288396 22508.7 30585.6
7.05113 -0.30700219462197115 22522.6 30616.0
7.05163 -0.30756962779625 22523.9 30635.1
7.05213 -0.30832849861797484 22516.7 30648.5
7.05263 -0.30873841782128 22518.4 30663.5
7.05313 -0.3089369326480623 22520.7 30672.6
7.05363 -0.30968401130421414 22521.4 30696.5
7.05413 -0.3102556441617717 22515.7 30706.3
7.05463 -0.31030332658285714 22523.3 30718.1
7.05513 -0.3111550605598722 22522.8 30743.7
7.05563 -0.3111880974655384 22516.9 30736.7
7.05613 -0.31193569799067333 22525.8 30771.8
7.05663 -0.3123587955562382 22529.7 30790.1
7.05713 -0.31321842244749515 22525.0 30810.2
7.05763 -0.3134120728150902 22521.2 30810.9
7.05813 -0.31371110658220647 22523.6 30823.4
7.05863 -0.314486116404935 22510.0 30828.6
7.05913 -0.314737229502625 22523.2 30854.5
7.05963 -0.3152997204721975 22514.4 30859.8
7.06013 -0.31594976967577376 22513.0 30878.0
7.06063 -0.31621611298369 22513.4 30886.8
7.06113 -0.3170056207432863 22512.8 30910.4
7.06163 -0.31700456607898053 22517.6 30916.9
7.06213 -0.3176190528117753 22523.3 30943.7
7.06263 -0.3181531165717502 22525.2 30962.9
7.06313 -0.3184469285143887 22521.1 30966.3
7.06363 -0.3188642401725182 22526.0 30986.0
7.06413 -0.3193027895095187 22525.7 30999.1
7.06463 -0.3195714209420767 22517.8 30996.6
7.06513 -0.3200208942835626 22535.5 31035.0
7.06563 -0.320243309284229 22541.1 31049.6
7.06613 -0.3207770936112845 22525.2 31044.3
7.06663 -0.32137455463477294 22521.3 31057.3
7.06713 -0.32162442477991976 22525.9 31071.5
7.06763 -0.32211422869557976 22514.0 31070.3
7.06813 -0.3224767904400387 22503.3 31066.7
7.06863 -0.3228412555032452 22523.3 31105.8
7.06913 -0.3234513947291458 22532.6 31137.6
7.06963 -0.32386744136550083 22529.7 31146.5
7.07013 -0.3243362001318634 22535.2 31168.7
7.07063 -0.32494294537932966 22534.7 31187.0
7.07113 -0.3251027553567243 22543.8 31204.5
7.07163 -0.32559797071709123 22528.3 31198.6
7.07213 -0.3260535514364823 22533.6 31220.1
7.07263 -0.32636450496524483 22536.3 31233.6
7.07313 -0.32646974181331195 22525.0 31221.1
7.07363 -0.3270081731695304 22527.2 31241.0
7.07413 -0.3276220756727328 22532.0 31266.8
7.07463 -0.32814247532401714 22530.5 31281.0
7.07513 -0.32844292236281736 22530.6 31290.6
7.07563 -0.32939325238528744 22542.7 31337.2
7.07613 -0.32956347168930467 22545.6 31346.5
7.07663 -0.3300459311173606 22540.3 31354.3
7.07713 -0.33049946005255076 22533.5 31359.0
7.07763 -0.3308601957705813 22536.9 31375.0
7.07813 -0.3314501345715822 22541.0 31399.3
7.07863 -0.33206881991973575 22543.6 31422.3
7.07913 -0.33217672794146147 22543.2 31425.2
7.07963 -0.3327873277341133 22537.1 31435.9
7.08013 -0.3329329492576531 22552.7 31462.2
7.08063 -0.3333767189336708 22559.0 31485.0
7.08113 -0.3339410058686504 22540.6 31477.0
7.08163 -0.33418949148383914 22536.6 31479.3
7.08213 -0.334702563993296 22550.4 31514.7
7.08263 -0.3351505172085413 22534.0 31505.9
7.08313 -0.33545811525539404 22542.0 31526.8
7.08363 -0.33614541962816324 22543.3 31550.4
7.08413 -0.3364583399698038 22556.6 31578.7
7.08463 -0.33698794651109887 22555.1 31593.5
7.08513 -0.33754842927545264 22547.0 31599.8
7.08563 -0.3380698612386021 22544.0 31612.1
7.08613 -0.33845537606332576 22547.5 31629.2
7.08663 -0.3391232071720841 22540.8 31640.9
7.08713 -0.3393186346571506 22537.3 31642.1
7.08763 -0.3396124568610542 22548.9 31667.8
7.08813 -0.339890148693793 22551.1 31679.7
7.08863 -0.3399095421329862 22562.0 31695.5
7.08913 -0.3402927543672183 22565.2 31712.2
7.08963 -0.340955187580474 22571.2 31741.6
7.09013 -0.3409861982177697 22568.2 31738.4
7.09063 -0.34161187421579375 22553.7 31737.9
7.09113 -0.3419178691086642 22555.6 31750.3
7.09163 -0.34221150042815823 22549.4 31750.9
7.09213 -0.3426168687666543 22558.5 31776.6
7.09263 -0.3431982999843211 22561.3 31798.9
7.09313 -0.3437188436998215 22568.1 31825.1
7.09363 -0.3439672001251384 22567.4 31832.0
7.09413 -0.3443205403114033 22577.9 31858.1
7.09463 -0.3447924757870723 22572.0 31864.8
7.09513 -0.34509555465439284 22572.3 31875.0
7.09563 -0.3455058547812849 22565.6 31878.5
7.09613 -0.345903571792243 22568.8 31895.8
7.09663 -0.3463101922056452 22575.1 31917.6
7.09713 -0.3467433109726648 22567.1 31920.1
7.09763 -0.34731067885189526 22577.7 31953.3
7.09813 -0.3473857503537977 22585.1 31966.1
7.09863 -0.3479801563211763 22585.1 31985.1
7.09913 -0.34815456812130213 22582.4 31986.8
7.09963 -0.3485709308826578 22582.0 31999.6
7.10013 -0.34901964214595316 22582.3 32014.4
7.10063 -0.34930057145759236 22574.4 32012.1
7.10113 -0.34962115880251304 22572.0 32019.1
7.10163 -0.34954006944595534 22583.4 32032.6
7.10213 -0.3497040328251018 22596.2 32056.0
7.10263 -0.35028791968781137 22585.0 32058.9
7.10313 -0.35053466001184164 22587.1 32069.7
7.10363 -0.35056076878898124 22593.3 32079.4
7.10413 -0.3506473275834046 22598.8 32090.0
7.10463 -0.3508088743201044 22590.8 32083.8
7.10513 -0.3506515275809594 22595.8 32085.9
7.10563 -0.3508924689299797 22599.8 32099.3
7.10613 -0.35053256609225325 22608.2 32099.7
7.10663 -0.35120586871942505 22604.4 32115.9
7.10713 -0.35088272257011754 22598.9 32097.6
7.10763 -0.34998978896965294 22606.2 32079.5
7.10813 -0.3494248816152299 22609.7 32066.3
7.10863 -0.34835309770605527 22602.9 32022.2
7.10913 -0.34646942503039935 22595.2 31951.1
7.10963 -0.3429269114978487 22598.4 31842.7
7.11013 -0.33663491106328436 22588.5 31629.3
7.11063 -0.3242936639258521 22587.0 31239.8
7.11113 -0.30600504231050907 22584.9 30671.4
7.11163 -0.28736521574259033 22586.2 30106.2
7.11213 -0.27335397636837666 22581.2 29680.3
7.11263 -0.2623508879710817 22571.8 29343.1
7.11313 -0.2537370255595507 22559.0 29074.8
7.11363 -0.24623965029021327 22526.4 28815.9
7.11413 -0.23995963508735213 22528.3 28638.0
7.11463 -0.23495932061819896 22525.9 28492.2
7.11513 -0.23187197517077138 22523.1 28400.7
7.11563 -0.23022430623839255 22537.8 28372.4
7.11613 -0.22900596105050855 22554.3 28358.6
7.11663 -0.2261523878026787 22562.4 28288.0
7.11713 -0.22012975063537452 22550.0 28102.8
7.11763 -0.21011678061491 22550.4 27823.5
7.11813 -0.19768563292618221 22545.1 27473.5
7.11863 -0.18443004485864134 22540.3 27105.9
7.11913 -0.1707259625357207 22544.3 26741.7
7.11963 -0.15627809942729234 22546.7 26361.0
7.12013 -0.14117180201474172 22548.6 25967.9
7.12063 -0.1269217674086325 22541.7 25592.4
7.12113 -0.11346562876739892 22529.4 25236.4
7.12163 -0.10149355708508155 22548.3 24957.1
7.12213 -0.09233558459923831 22534.7 24714.7
7.12263 -0.08370133332961291 22529.5 24496.6
7.12313 -0.07638618425986005 22531.4 24320.0
7.12363 -0.0697414679129805 22521.7 24148.6
7.12413 -0.06389350476656433 22524.4 24010.5
7.12463 -0.058665622973086334 22504.4 23864.1
7.12513 -0.05320296317724179 22527.4 23758.4
7.12563 -0.0476424050197672 22509.9 23608.3
7.12613 -0.04179963636697832 22515.1 23476.3
7.12663 -0.03568710291945335 22505.1 23322.8
7.12713 -0.02906417522744497 22502.3 23166.0
7.12763 -0.021709403203656868 22497.8 22991.7
7.12813 -0.013092197569221586 22505.7 22802.3
7.12863 -0.0047030740186965354 22501.5 22607.7
7.12913 0.003930270696567987 22490.3 22402.0
7.12963 0.010860844167273538 22497.9 22254.9
7.13013 0.015845450888354574 22480.9 22127.6
7.13063 0.018117909121051413 22478.0 22074.4
7.13113 0.016929590592729856 22472.7 22095.4
7.13163 0.012414458826143504 22470.0 22192.8
7.13213 0.005363054753689686 22467.1 22347.0
7.13263 -0.002368695807952074 22457.0 22510.3
7.13313 -0.010674702166434999 22467.4 22708.5
7.13363 -0.01769332317347407 22477.7 22879.0
